Order ID,Date,Brand,Model,Region,Specification,Store Name,Unit Price,Cost per Unit,Quantity,Sales,Profit,Revenue
ORD0001,2024-10-25,Apple,Watch Series 8,North,"Rugged, GPS + Cellular",SmartTech,361,320,2,722,82,722
ORD0002,2023-07-29,Fitbit,Charge 6,South,"Rugged, Military Std",SmartTech,138,48,2,276,180,276
ORD0003,2021-02-03,Fitbit,Versa 4,South,"GPS + Cellular, Rugged, EDA Sensor",Tech World,213,142,10,2130,710,2130
ORD0004,2021-12-04,Samsung,Galaxy Watch 5,West,"Bluetooth Only, Sleep Track, GPS",iHub,343,280,6,2058,378,2058
ORD0005,2022-10-23,Samsung,Galaxy Watch 5,South,"Military Std, GPS + Cellular",Gadget Zone,307,255,10,3070,520,3070
ORD0006,2020-02-05,Garmin,Forerunner 955,Central,"Rugged, AMOLED, Health Monitor",Digital Mall,514,441,8,4112,584,4112
ORD0007,2021-05-09,Apple,Watch Ultra 2,North,"GPS + Cellular, Rugged, EDA Sensor",Fit Gear,796,744,5,3980,260,3980
ORD0008,2024-04-11,Samsung,Galaxy Watch 6,West,"Health Monitor, AMOLED",SmartTech,365,315,6,2190,300,2190
ORD0009,2021-08-08,Apple,Watch Ultra 2,North,"Military Std, EDA Sensor, Sleep Track",Tech World,700,634,5,3500,330,3500
ORD0010,2021-04-18,Garmin,Venu 2,East,"Military Std, Health Monitor, Bluetooth Only",Digital Mall,390,345,9,3510,405,3510
ORD0011,2020-08-04,Garmin,Venu 2,North,"Sleep Track, EDA Sensor",Tech World,375,287,1,375,88,375
ORD0012,2021-08-15,Garmin,Instinct 2,East,Rugged,Digital Mall,326,275,1,326,51,326
ORD0013,2021-06-04,Fitbit,Versa 4,Central,"Health Monitor, Military Std",Digital Mall,200,161,10,2000,390,2000
ORD0014,2022-10-24,Apple,Watch Series 8,South,"GPS, Health Monitor, Sleep Track",iHub,381,294,2,762,174,762
ORD0015,2024-07-13,Fitbit,Versa 4,South,"Bluetooth Only, GPS + Cellular",Gadget Zone,227,127,2,454,200,454
ORD0016,2024-02-05,Apple,Watch Series 9,East,"EDA Sensor, Rugged, Military Std",Tech World,417,335,1,417,82,417
ORD0017,2022-03-28,Apple,Watch Series 8,South,"GPS + Cellular, Health Monitor, GPS",Gadget Zone,383,354,2,766,58,766
ORD0018,2020-09-26,Amazfit,T-Rex 2,West,"AMOLED, GPS + Cellular",Online Mart,239,178,1,239,61,239
ORD0019,2024-06-03,Garmin,Venu 2,East,"Military Std, Sleep Track",Digital Mall,383,301,7,2681,574,2681
ORD0020,2024-10-15,Fitbit,Charge 6,North,EDA Sensor,Tech World,136,44,10,1360,920,1360
ORD0021,2022-04-02,Amazfit,GTR 4,North,"Rugged, AMOLED",Fit Gear,188,122,2,376,132,376
ORD0022,2020-09-08,Apple,Watch Series 8,West,EDA Sensor,Tech World,363,277,9,3267,774,3267
ORD0023,2023-08-11,Fitbit,Versa 4,Central,"Military Std, Sleep Track, GPS + Cellular",Tech World,218,173,4,872,180,872
ORD0024,2024-05-15,Amazfit,T-Rex 2,Central,Rugged,Tech World,249,161,10,2490,880,2490
ORD0025,2022-08-06,Amazfit,GTS 4 Mini,North,Rugged,SmartTech,125,47,4,500,312,500
ORD0026,2023-01-11,Samsung,Galaxy Watch 6,East,GPS,iHub,337,245,10,3370,920,3370
ORD0027,2024-12-16,Amazfit,GTS 4 Mini,East,"Rugged, Sleep Track, GPS",iHub,108,86,2,216,44,216
ORD0028,2023-12-06,Apple,Watch SE,North,"Sleep Track, Health Monitor, Bluetooth Only",Online Mart,273,235,10,2730,380,2730
ORD0029,2020-05-10,Apple,Watch SE,West,"Rugged, GPS",Tech World,253,163,10,2530,900,2530
ORD0030,2021-01-18,Amazfit,GTR 4,East,"EDA Sensor, Health Monitor, Sleep Track",Fit Gear,207,122,6,1242,510,1242
ORD0031,2020-01-28,Fitbit,Sense 2,South,Rugged,Digital Mall,280,212,5,1400,340,1400
ORD0032,2022-12-23,Samsung,Galaxy Watch 6,West,"AMOLED, Health Monitor",Gadget Zone,377,301,8,3016,608,3016
ORD0033,2021-03-15,Amazfit,T-Rex 2,East,"Bluetooth Only, AMOLED",Tech World,205,147,8,1640,464,1640
